id,epígrafe,ementa,Artigo 1º,Artigo 1 revogado,URL,file_name
28,"LEI Nº 14.442, DE 2 DE SETEMBRO DE 2022","Dispõe sobre o pagamento de auxílio-alimentação ao empregado e altera a Lei nº 6.321, de 14 de abril de 1976, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.","Esta Lei dispõe sobre o pagamento de auxílio-alimentação ao empregado, bem como altera a Lei nº 6.321, de 14 de abril de 1976, e a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14442.htm,l14442
27,"LEI Nº 14.065, DE 30 DE SETEMBRO DE 2020","Autoriza pagamentos antecipados nas licitações e nos contratos realizados no âmbito da administração pública; adequa os limites de dispensa de licitação; amplia o uso do Regime Diferenciado de Contratações Públicas (RDC) durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020; e altera a Lei nº 13.979, de 6 de fevereiro de 2020.","A administração pública dos entes federativos, de todos os Poderes e órgãos constitucionalmente autônomos fica autorizada a:",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14065.htm,l14065
26,"LEI Nº 10.167, DE 27 DE DEZEMBRO DE 2000.","Altera dispositivos da Lei nº 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígenos, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas.","A Lei nº 9.294, de 15 de julho de 1996, passa a vigorar com as seguintes alterações:",,https://www.planalto.gov.br/ccivil_03/leis/l10167.htm,l10167
25,"LEI Nº 13.188, DE 11 DE NOVEMBRO DE 2015.","Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social.","Esta Lei disciplina o exercício do direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social.",,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13188.htm,l13188
24,"LEI Nº 14.297, DE 5 DE JANEIRO DE 2022",Dispõe sobre medidas de proteção asseguradas ao entregador que presta serviço por intermédio de empresa de aplicativo de entrega durante a vigência da emergência em saúde pública decorrente do coronavírus responsável pela covid-19.,"Esta Lei dispõe sobre medidas de proteção asseguradas ao entregador que presta serviço por intermédio de empresa de aplicativo de entrega durante a vigência, no território nacional, da emergência de saúde pública decorrente do coronavírus responsável pela covid-19.",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14297.htm,l14297
23,"LEI Nº 13.165, DE 29 DE SETEMBRO DE 2015.","Altera as Leis nº 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 - Código Eleitoral, para reduzir os custos das campanhas eleitorais, simplificar a administração dos Partidos Políticos e incentivar a participação feminina.","Esta Lei modifica as Leis nº 9.504, de 30 de setembro de 1997, 9.096, de 19 de setembro de 1995, e 4.737, de 15 de julho de 1965 - Código Eleitoral, alterando a legislação infraconstitucional e complementando a reforma das instituições político-eleitorais do País.",,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13165.htm,l13165
29,"LEI Nº 14.437, DE 15 DE AGOSTO DE 2022","Autoriza o Poder Executivo federal a dispor sobre a adoção, por empregados e empregadores, de medidas trabalhistas alternativas e sobre o Programa Emergencial de Manutenção do Emprego e da Renda, para enfrentamento das consequências sociais e econômicas de estado de calamidade pública em âmbito nacional ou em âmbito estadual, distrital ou municipal reconhecido pelo Poder Executivo federal.","Esta Lei autoriza o Poder Executivo federal a dispor sobre a adoção, por empregados e empregadores, de medidas trabalhistas alternativas e sobre o Programa Emergencial de Manutenção do Emprego e da Renda, para enfrentamento das consequências sociais e econômicas de estado de calamidade pública em âmbito nacional ou em âmbito estadual, distrital ou municipal reconhecido pelo Poder Executivo federal.",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/lei/l14437.htm,l14437
21,"LEI Nº 14.180, DE 1º DE JULHO DE 2021",Institui a Política de Inovação Educação Conectada.,"É instituída a Política de Inovação Educação Conectada, em consonância com a estratégia 7.15 do Plano Nacional de Educação, aprovado pela Lei nº 13.005, de 25 de junho de 2014, com o objetivo de apoiar a universalização do acesso à internet em alta velocidade e fomentar o uso pedagógico de tecnologias digitais na educação básica.",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14180.htm,l14180
22,"LEI Nº 13.168, DE 6 DE OUTUBRO DE 2015.","Altera a redação do § 1º do art. 47 da Lei nº 9.394, de 20 de dezembro de 1996 - Lei de Diretrizes e Bases da Educação Nacional.","O § 1º do art. 47 da Lei nº 9.394, de 20 de dezembro de 1996 , passa a vigorar com a seguinte redação:",,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13168.htm,l13168
120,"LEI Nº 14.035, DE 11 DE AGOSTO DE 2020","Altera a Lei nº 13.979, de 6 de fevereiro de 2020, para dispor sobre procedimentos para a aquisição ou contratação de bens, serviços e insumos destinados ao enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019.","A Lei nº 13.979, de 6 de fevereiro de 2020 , passa a vigorar com as seguintes alterações:",,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/lei/l14035.htm,l14035
30,"LEI Nº 12.034, DE 29 DE SETEMBRO DE 2009.","Altera as Leis nºˢ 9.096, de 19 de setembro de 1995 - Lei dos Partidos Políticos, 9.504, de 30 de setembro de 1997, que estabelece normas para as eleições, e 4.737, de 15 de julho de 1965 - Código Eleitoral.","Esta Lei altera as Leis nºˢ 9.096, de 19 de setembro de 1995, 9.504, de 30 de setembro de 1997, e 4.737, de 15 de julho de 1965 - Código Eleitoral.",,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/lei/l12034.htm,l12034
119,"LEI Nº 14.621, DE 14 DE JULHO DE 2023","Institui a Estratégia Nacional de Formação de Especialistas para a Saúde no âmbito do Programa Mais Médicos; e altera as Leis nºs 12.871, de 22 de outubro de 2013, 13.959, de 18 de dezembro de 2019, e 13.958, de 18 de dezembro de 2019, para criar novos incentivos e regras no âmbito do Projeto Mais Médicos para o Brasil e do Exame Nacional de Revalidação de Diplomas Médicos Expedidos por Instituição de Educação Superior Estrangeira (Revalida) e para transformar a Agência para o Desenvolvimento da Atenção Primária à Saúde (Adaps) em Agência Brasileira de Apoio à Gestão do SUS (AGSUS","Fica instituída a Estratégia Nacional de Formação de Especialistas para a Saúde no âmbito do Programa Mais Médicos, com vistas à integração de programas de formação, provimento e educação pelo trabalho na esfera do Sistema Único de Saúde (SUS).",,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/lei/l14621.htm,l14621
